empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra.ebikes,extra.has_ebikes,extra.last_updated,extra.payment,extra.payment-terminal,extra.renting,extra.returning,extra.slots,extra.uid
9,18,cf31c0e43bed8ac4be38950b620f06d4,40.7016657,-73.9437303,Broadway & Whipple St,2022-12-05T01:39:36.242000Z,2,True,1670204353,"['creditcard', 'key']",True,1,1,27,3067
24,36,7e90c995b31039ca8d76eb029e79bd7b,40.69196566,-73.9813018,Willoughby St & Fleet St,2022-12-05T01:39:35.715000Z,0,True,1670203614,"['creditcard', 'key']",True,1,1,62,239
11,7,2455cde3408d55c05596f2c87ce2730e,40.7242941,-74.0354826,Washington St,2022-12-05T01:39:36.685000Z,1,True,1670203588,"['creditcard', 'key']",True,1,1,18,3638
12,16,38db8a3f71cd3fa93df107ecc71582d7,40.7192517,-74.034234,Harborside,2022-12-05T01:39:36.685000Z,3,True,1670198911,"['creditcard', 'key']",True,1,1,30,3639
27,1,bbd241a691b0736801b4a59ba16ee4fd,40.683238654603414,-73.96599590778351,Fulton St & Waverly Ave,2022-12-05T01:39:36.686000Z,1,True,1670204047,"['creditcard', 'key']",True,1,1,31,3637
31,4,e59d4e19628c6e90bed3df77eb6d2ab1,40.7675487799971,-73.9209334552288,31 St & Newtown Ave,2022-12-05T01:39:36.467000Z,2,True,1670204124,"['creditcard', 'key']",True,1,1,37,3721
12,17,87398d0a3d90499cda3701b0f02708ab,40.8038654,-73.9559308,Frederick Douglass Blvd & W 115 St,2022-12-05T01:39:36.688000Z,3,True,1670204171,"['creditcard', 'key']",True,1,1,33,3630
1,16,a51071afa04ac7a5eb1157951a7c94da,40.69527008,-73.95238108,Nostrand Ave & Myrtle Ave,2022-12-05T01:39:36.238000Z,2,True,1670204037,"['creditcard', 'key']",True,1,1,20,3063
10,11,b69d830a701a1fceb2a474097d48c449,40.69539817,-73.94954908,Myrtle Ave & Marcy Ave,2022-12-05T01:39:36.239000Z,5,True,1670203599,"['creditcard', 'key']",True,1,1,23,3062
11,10,cf0e4540220f69ab4064080de80f2675,40.69622937,-73.94371094,Throop Ave & Myrtle Ave,2022-12-05T01:39:36.240000Z,3,True,1670199195,"['creditcard', 'key']",True,1,1,21,3061
5,25,663962dd5882cc2a3142fd1f4fc8fc9d,40.7361967,-74.00859207,Bank St & Washington St,2022-12-05T01:39:35.714000Z,2,True,1670202898,"['creditcard', 'key']",True,1,1,31,238
8,22,9190afca949ebaed2d792aa8b7f0eccc,40.70029511,-73.95032283,Union Ave & Wallabout St,2022-12-05T01:39:36.242000Z,2,True,1670204172,"['creditcard', 'key']",True,1,1,31,3065
6,22,df8f52e24c61a15be77c2c6dd3e6e3fb,40.70411791,-73.94818595,Lorimer St & Broadway,2022-12-05T01:39:36.244000Z,2,True,1670203115,"['creditcard', 'key']",True,1,1,29,3069
2,30,0a0d9d6e93abd05548c672b60bfa9099,40.677236,-74.015665,Coffey St & Conover St,2022-12-05T01:39:35.360000Z,0,True,1670197086,"['creditcard', 'key']",True,1,1,32,3348
23,18,5d17ca9635db0c7f367743b299010296,40.7031724,-73.940636,Humboldt St & Varet St,2022-12-05T01:39:36.245000Z,3,True,1670203051,"['creditcard', 'key']",True,1,1,42,3068
0,22,f3429c91fe2ab4d84ff2dc15caa59076,40.6777748,-74.0094613,Pioneer St & Richards St,2022-12-05T01:39:35.362000Z,0,True,1670199357,"['creditcard', 'key']",True,1,1,23,3342
0,35,c2c6d7385a8c127c4ed83d66f868d6d5,40.6773429,-74.01275056,Van Brunt St & Wolcott St,2022-12-05T01:39:35.365000Z,1,True,1670202277,"['creditcard', 'key']",True,1,1,36,3347
5,34,4081ac99ac6fa036539a136ea8bcc645,40.679043,-74.011169,Pioneer St & Van Brunt St,2022-12-05T01:39:35.366000Z,0,True,1670200749,"['creditcard', 'key']",True,1,1,39,3344
19,14,b21117016c7231dac03f524390e2e8db,40.78948541553215,-73.95242929458618,Madison Ave & E 99 St,2022-12-05T01:39:35.367000Z,10,True,1670203621,"['creditcard', 'key']",True,1,1,35,3345
11,43,03a01504efc5cf418c8001828a179cf3,40.71625008,-74.0091059,Hudson St & Reade St,2022-12-05T01:39:35.723000Z,9,True,1670204301,"['creditcard', 'key']",True,1,1,55,146
34,15,d840ae5054d55060af7786d28bc291f8,40.69239502,-73.99337909,Clinton St & Joralemon St,2022-12-05T01:39:35.725000Z,0,True,1670202782,"['creditcard', 'key']",True,1,1,50,143
14,27,461f47defcc688ad14984bb186072d6d,40.735445,-73.99431,W 13 St & 5 Ave,2022-12-05T01:39:36.690000Z,2,True,1670204253,"['creditcard', 'key']",True,1,1,43,3708
1,18,ff2ae7535e4713928b83a5e8fabcae8d,40.7437524099784,-73.94176483154297,47 Ave & Skillman Ave,2022-12-05T01:39:36.704000Z,0,True,1670170337,"['creditcard', 'key']",True,1,1,19,3704
23,21,4bbbed23270a34498c42e1188dcbe9bc,40.74232744,-73.95411749,Vernon Blvd & 50 Ave,2022-12-05T01:39:36.256000Z,0,True,1670202399,"['creditcard', 'key']",True,1,1,45,3119
2,23,10bae30699dc4d002884eaffadbc9f15,40.73564,-73.95866,Franklin St & Dupont St,2022-12-05T01:39:36.258000Z,14,True,1670203185,"['creditcard', 'key']",True,1,1,27,3117
3,28,e256cfe16e29d02ca42a0bcb84bc57ac,40.72906,-73.95779,Milton St & Franklin St,2022-12-05T01:39:36.261000Z,2,True,1670203785,"['creditcard', 'key']",True,1,1,33,3112
0,23,63bf84b2b0a1701aa1744fce5ba51690,40.72708584,-73.95299117,Meserole Ave & Manhattan Ave,2022-12-05T01:39:36.262000Z,7,True,1670200841,"['creditcard', 'key']",True,1,1,28,3110
21,12,7275a0e7a9cbe5a5c6fb72acf3fe9a28,40.761584,-73.925921,31 St & Broadway,2022-12-05T01:39:36.335000Z,4,True,1670204349,"['creditcard', 'key']",True,1,1,35,3593
9,10,64a28a2c71b7707dbd658fb016f44d85,40.7633589,-73.9286471,Crescent St & Broadway,2022-12-05T01:39:36.336000Z,1,True,1670203901,"['creditcard', 'key']",True,1,1,19,3592
21,1,a5c4f1fcc7d877dbfe8b983ad6648b81,40.6776147,-73.97324283,7 Ave & Park Pl,2022-12-05T01:39:36.714000Z,1,True,1670203819,"['creditcard', 'key']",True,1,1,25,3416
6,42,9a8d2b588b89023dde9d5d833a86c107,40.6867443,-73.99063168,Bergen St & Smith St,2022-12-05T01:39:36.832000Z,1,True,1670204148,"['creditcard', 'key']",True,1,1,48,3409
